# dataset=strongs/glosses; lang=por; source=strongs_gloss(lexicon)+llm_strongs_glosses(llm); license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	gloss	methods	sources
H0125	אֲדַמְדָּם	avermelhado	lexicon	ubs-dict
H0126	אַדְמָה	Admá	lexicon	ubs-dict
H0127	אֲדָמָה	terra	lexicon	ubs-dict
H0129	אֲדָמִי	Adami-Nequebe	lexicon	ubs-dict
H0130	אֱדֹמִי	edomita	lexicon	ubs-dict
H0132	אַדְמֹנִי	vermelho	lexicon	ubs-dict
H0133	אַדְמָתָא	Admata	lexicon	ubs-dict
H0134	אֶדֶן	base	lexicon	ubs-dict
H0135	אַדָּן	Adã	lexicon	ubs-dict
H0136	אֲדֹנָי	Senhor	lexicon	ubs-dict
H0137	אֲדֹנִי־בֶזֶק	Adoni-Bezeque	lexicon	ubs-dict
H0138	אֲדֹנִיָּה	Adonias	lexicon	ubs-dict
H0139	אֲדֹנִי־צֶדֶק	Adoni-Zedeque	lexicon	ubs-dict
H0140	אֲדֹנִיקָם	Adonicão	lexicon	ubs-dict
H0141	אֲדֹנִירָם	Adonirão	lexicon	ubs-dict
H0142	אָדַר	ser glorioso	lexicon	ubs-dict
H0143	אֲדָר	adar	lexicon	ubs-dict
H0145	אֶדֶר	honra	lexicon	ubs-dict
H0146	אַדָּר	Adar	lexicon	ubs-dict
H0150	אֲדַרְכֹּן	darico	lexicon	ubs-dict
H0151	אֲדֹרָם	Adorão	lexicon	ubs-dict
H0152	אֲדְרַמֶּלֶךְ	Adrameleque	lexicon	ubs-dict
H0154	אֶדְרֶעִי	Edrei	lexicon	ubs-dict
H0155	אַדֶּרֶת	nobre	lexicon	ubs-dict
H0156	אָדַשׁ	pisotear	lexicon	ubs-dict
H0157	אָהַב	amar	lexicon	ubs-dict
H0158	אַהַב	amorosa	lexicon	ubs-dict
H0159	אֹהַב	fazer sexo	lexicon	ubs-dict
H0160	אַהֲבָה	amor	lexicon	ubs-dict
H0161	אֹהַד	Oade	lexicon	ubs-dict
H0162	אֲהָהּ	Ah!	lexicon	ubs-dict
H0163	אַהֲוָא	Aava	lexicon	ubs-dict
H0164	אֵהוּד	Eúde	lexicon	ubs-dict
H0166	אָהַל	armar a tenda	lexicon	ubs-dict
H0168	אֹהֶל	tenda	lexicon	ubs-dict
H0170	אׇהֳלָה	Oolá	lexicon	ubs-dict
H0171	אׇהֳלִיאָב	Ooliabe	lexicon	ubs-dict
H0172	אׇהֳלִיבָה	Oolibá	lexicon	ubs-dict
H0173	אׇהֳלִיבָמָה	Oolibama	lexicon	ubs-dict
H0174	אֲהָלִים	sândalo	lexicon	ubs-dict
H0175	אַהֲרוֹן	Arão	lexicon	ubs-dict
H0176	אוֹ	(ou X) ou (Y)	lexicon	ubs-dict
H0177	אוּאֵל	Uel	lexicon	ubs-dict
H0178	אוֹב	odre	lexicon	ubs-dict
H0179	אוֹבִיל	Obil	lexicon	ubs-dict
H0180	אוּבָל	canal	lexicon	ubs-dict
H0181	אוּד	tição	lexicon	ubs-dict
H0183	אָוָה	desejar	lexicon	ubs-dict
H0185	אַוָּה	desejo	lexicon	ubs-dict
H0186	אוּזַי	Uzai	lexicon	ubs-dict
H0187	אוּזָל	Uzal	lexicon	ubs-dict
H0188	אוֹי	ai!	lexicon	ubs-dict
H0189	אֱוִי	Evi	lexicon	ubs-dict
H0190	אוֹיָה	ai!	lexicon	ubs-dict
H0191	אֱוִיל	insensato	lexicon	ubs-dict
H0192	אֱוִיל מְרֹדַךְ	Evil-Merodaque	lexicon	ubs-dict
H0193	אוּל	corpo	lexicon	ubs-dict
H0194	אוּלַי	talvez	lexicon	ubs-dict
H0196	אֱוִלִי	insensato	lexicon	ubs-dict
H0197	אוּלָם	pórtico	lexicon	ubs-dict
H0198	אוּלָם	mas	lexicon	ubs-dict
H0200	אִוֶּלֶת	tolice	lexicon	ubs-dict
H0201	אוֹמָר	Omar	lexicon	ubs-dict
H0202	אוֹן	vigor	lexicon	ubs-dict
H0205	אָוֶן	iniquidade	lexicon	ubs-dict
H0205	אָוֶן	lamentar	lexicon	ubs-dict
H0207	אוֹנוֹ	Ono	lexicon	ubs-dict
H0208	אוֹנָם	Onã	lexicon	ubs-dict
H0209	אוֹנָן	Onã	lexicon	ubs-dict
H0210	אוּפָז	Ufaz	lexicon	ubs-dict
H0211	אוֹפִיר	Ofir	lexicon	ubs-dict
H0212	אוֹפָן	roda	lexicon	ubs-dict
H0213	אוּץ	precipitar-se	lexicon	ubs-dict
H0214	אוֹצָר	tesouro	lexicon	ubs-dict
H0215	אוֹר	brilhar	lexicon	ubs-dict
H0216	אוֹר	luz	lexicon	ubs-dict
H0217	אוּר	fogo	lexicon	ubs-dict
H0219	אוֹרָה	luz	lexicon	ubs-dict
H0220	אֲוֵרָה	estrebaria	lexicon	ubs-dict
H0221	אוּרִי	Uri	lexicon	ubs-dict
H0222	אוּרִיאֵל	Uriel	lexicon	ubs-dict
H0223	אוּרִיָּה	Urias	lexicon	ubs-dict
H0225	אוּת	consentir	lexicon	ubs-dict
H0226	אוֹת	emblema	lexicon	ubs-dict
H0227	אָז	então	lexicon	ubs-dict
H0229	אֶזְבַּי	Ezbai	lexicon	ubs-dict
H0231	אֵזוֹב	hissopo	lexicon	ubs-dict
H0232	אֵזוֹר	faixa (como cinto ou como tanga)	lexicon	ubs-dict
H0233	אֲזַי	e	lexicon	ubs-dict
H0234	אַזְכָּרָה	memorial	lexicon	ubs-dict
H0235	אָזַל	ir-se	lexicon	ubs-dict
H0237	אֶזֶל	pedra de Ezel	lexicon	ubs-dict
H0238	אָזַן	ouvir	lexicon	ubs-dict
H0240	אָזֵן	pertences	lexicon	ubs-dict
H0241	אֹזֶן	ouvido	lexicon	ubs-dict
H0242	אֻזֵּן שֶׁאֱרָה	Uzém-Seerá	lexicon	ubs-dict
H0243	אַזְנוֹת תָּבוֹר	Aznote-Tabor	lexicon	ubs-dict
H0244	אׇזְנִי	Ozni	lexicon	ubs-dict
H0245	אֲזַנְיָה	Azanias	lexicon	ubs-dict
H0246	אֲזִקִּים	cadeias	lexicon	ubs-dict
H0247	אָזַר	portar um cinto	lexicon	ubs-dict
H0248	אֶזְרוֹעַ	braço	lexicon	ubs-dict
H0249	אֶזְרָח	nativo	lexicon	ubs-dict
H0250	אֶזְרָחִי	ezraíta	lexicon	ubs-dict
H0251	אָח	irmão	lexicon	ubs-dict
H0255	אֹחַ	chacal	lexicon	ubs-dict
H0256	אַחְאָב	Acabe	lexicon	ubs-dict
H0257	אַחְבָן	Abã	lexicon	ubs-dict
H0258	אָחַד	participar	lexicon	ubs-dict
H0259	אֶחָד	um	lexicon	ubs-dict
H0260	אָחוּ	capim	lexicon	ubs-dict
H0261	אֵחוּד	Eúde	lexicon	ubs-dict
H0262	אַחְוָה	fala	lexicon	ubs-dict
H0265	אֲחוֹחַ	Aoá	lexicon	ubs-dict
H0266	אֲחוֹחִי	aoíta	lexicon	ubs-dict
H0267	אֲחוּמַי	Aumai	lexicon	ubs-dict
H0268	אָחוֹר	atrás	lexicon	ubs-dict
H0269	אָחוֹת	irmã	lexicon	ubs-dict
H0270	אָחַז	estar preso	lexicon	ubs-dict
H0270	אָחַז	suporte	lexicon	ubs-dict
H0271	אָחָז	Acaz	lexicon	ubs-dict
H0272	אֲחֻזָּה	propriedade	lexicon	ubs-dict
H0273	אַחְזַי	Azai	lexicon	ubs-dict
H0274	אֲחַזְיָה	Acazias	lexicon	ubs-dict
H0275	אֲחֻזָּם	Auzã	lexicon	ubs-dict
H0276	אֲחֻזַּת	Auzate	lexicon	ubs-dict
H0277	אֲחִי	Aí	lexicon	ubs-dict
H0278	אֵחִי	Eí	lexicon	ubs-dict
H0279	אֲחִיאָם	Aião	lexicon	ubs-dict
H0281	אֲחִיָּה	Aías	lexicon	ubs-dict
H0282	אֲחִיהוּד	Aiúde	lexicon	ubs-dict
H0283	אַחְיוֹ	Aiô	lexicon	ubs-dict
H0284	אֲחִיחֻד	Aiúde	lexicon	ubs-dict
H0285	אֲחִיטוּב	Aitube	lexicon	ubs-dict
H0286	אֲחִילוּד	Ailude	lexicon	ubs-dict
H0287	אֲחִימוֹת	Aimote	lexicon	ubs-dict
H0288	אֲחִימֶלֶךְ	Aimeleque	lexicon	ubs-dict
H0289	אֲחִימַן	Aimã	lexicon	ubs-dict
H0290	אֲחִימַעַץ	Aimaás	lexicon	ubs-dict
H0291	אַחְיָן	Aiã	lexicon	ubs-dict
H0292	אֲחִינָדָב	Ainadabe	lexicon	ubs-dict
H0293	אֲחִינֹעַם	Ainoã	lexicon	ubs-dict
H0294	אֲחִיסָמָךְ	Aisamaque	lexicon	ubs-dict
H0295	אֲחִיעֶזֶר	Aiezer	lexicon	ubs-dict
H0296	אֲחִיקָם	Aicão	lexicon	ubs-dict
H0297	אֲחִירָם	Airão	lexicon	ubs-dict
H0298	אֲחִירָמִי	airamita	lexicon	ubs-dict
H0299	אֲחִירַע	Aira	lexicon	ubs-dict
H0300	אֲחִישַׁחַר	Aisaar	lexicon	ubs-dict
H0301	אֲחִישָׁר	Aisar	lexicon	ubs-dict
H0302	אֲחִיתֹפֶל	Aitofel	lexicon	ubs-dict
H0303	אַחְלָב	Alabe	lexicon	ubs-dict
H0304	אַחְלַי	Alai	lexicon	ubs-dict
H0305	אַחֲלַי	tomara	lexicon	ubs-dict
H0306	אַחְלָמָה	ametista (?)	lexicon	ubs-dict
H0307	אַחְמְתָא	Ecbatana	lexicon	ubs-dict
H0308	אֲחַסְבַּי	Aasbai	lexicon	ubs-dict
H0309	אָחַר	demorar	lexicon	ubs-dict
H0310	אַחַר	atrás	lexicon	ubs-dict
H0312	אַחֵר	outro	lexicon	ubs-dict
H0314	אַחֲרוֹן	atrás	lexicon	ubs-dict
H0315	אַחְרַח	Aará	lexicon	ubs-dict
H0316	אֲחַרְחֵל	Aarel	lexicon	ubs-dict
H0319	אַחֲרִית	extremidade	lexicon	ubs-dict
H0322	אֲחֹרַנִּית	para trás	lexicon	ubs-dict
H0323	אֲחַשְׁדַּרְפַּן	sátrapa	lexicon	ubs-dict
H0325	אֲחַשְׁוֵרוֹשׁ	Assuero	lexicon	ubs-dict
H0326	אֲחַשְׁתָּרִי	Haastari	lexicon	ubs-dict
H0327	אֲחַשְׁתָּרָן	real	lexicon	ubs-dict
H0328	אַט	espíritos	lexicon	ubs-dict
H0328	אַט	gentilmente	lexicon	ubs-dict
H0329	אָטָד	espinheiro	lexicon	ubs-dict
H0330	אֵטוּן	(tecido de) linho	lexicon	ubs-dict
H0331	אָטַם	com grades	lexicon	ubs-dict
H0332	אָטַר	fechar	lexicon	ubs-dict
H0333	אָטֵר	Ater	lexicon	ubs-dict
H0334	אִטֵּר	"fechado na mão direita" = canhoto	lexicon	ubs-dict
H0335	אַי	onde?	lexicon	ubs-dict
H0336	אִי	região costeira	lexicon	ubs-dict
H0340	אָיַב	ser inimigo de	lexicon	ubs-dict
H0342	אֵיבָה	inimizade	lexicon	ubs-dict
H0343	אֵיד	calamidade	lexicon	ubs-dict
H0344	אַיָּה	falcão	lexicon	ubs-dict
H0346	אַיֵּה	onde?	lexicon	ubs-dict
H0347	אִיּוֹב	Jó	lexicon	ubs-dict
H0348	אִיזֶבֶל	Jezabel	lexicon	ubs-dict
H0349	אֵיךְ	como?	lexicon	ubs-dict
H0350	אִי־כָבוֹד	Icabode	lexicon	ubs-dict
H0351	אֵיכֹה	onde?	lexicon	ubs-dict
H0352	אַיִל	carneiro	lexicon	ubs-dict
H0353	אֱיָל	força	lexicon	ubs-dict
H0354	אַיָּל	veado	lexicon	ubs-dict
H0355	אַיָּלָה	corça	lexicon	ubs-dict
H0356	אֵילוֹן	Elom	lexicon	ubs-dict
H0357	אַיָּלוֹן	Aijalom	lexicon	ubs-dict
H0358	אֵילוֹן בֵּית חָנָן	Elom	lexicon	ubs-dict
H0359	אֵילוֹת	Elate	lexicon	ubs-dict
H0359	אֵילוֹת	Elote	lexicon	ubs-dict
H0360	אֱיָלוּת	força	lexicon	ubs-dict
H0362	אֵילִם	Elim	lexicon	ubs-dict
H0364	אֵיל פָּארָן	El-Parã	lexicon	ubs-dict
H0366	אָיֹם	formidável	lexicon	ubs-dict
H0367	אֵימָה	medo	lexicon	ubs-dict
H0368	אֵימִים	emins	lexicon	ubs-dict
H0369	אַיִן	de onde?	lexicon	ubs-dict
H0371	אִין	não haveria...?	lexicon	ubs-dict
H0372	אִיעֶזֵר	Jezer	lexicon	ubs-dict
H0373	אִיעֶזְרִי	jezerita	lexicon	ubs-dict
H0374	אֵיפָה	efa	lexicon	ubs-dict
H0375	אֵיפֹה	onde?	lexicon	ubs-dict
H0376	אִישׁ	pessoa	lexicon	ubs-dict
H0377	אִישׁ	ficar firme	lexicon	ubs-dict
H0378	אִישׁ־בֹּשֶׁת	Isbosete	lexicon	ubs-dict
H0379	אִישְׁהוֹד	Isode	lexicon	ubs-dict
H0380	אִישׁוֹן	menina dos olhos	lexicon	ubs-dict
H0380	אִישׁוֹן	tempo	lexicon	ubs-dict
H0384	אִיתִיאֵל	Itiel	lexicon	ubs-dict
H0385	אִיתָמָר	Itamar	lexicon	ubs-dict
H0386	אֵיתָן	constante	lexicon	ubs-dict
H0389	אַךְ	somente	lexicon	ubs-dict
H0390	אַכַּד	Acade	lexicon	ubs-dict
H0391	אַכְזָב	enganoso	lexicon	ubs-dict
H0392	אַכְזִיב	Aczibe	lexicon	ubs-dict
H0393	אַכְזָר	cruel	lexicon	ubs-dict
H0394	אַכְזָרִי	cruel	lexicon	ubs-dict
H0395	אַכְזְרִיּוּת	crueldade	lexicon	ubs-dict
H0396	אֲכִילָה	comida	lexicon	ubs-dict
H0397	אֲכִישׁ	Aquis	lexicon	ubs-dict
H0398	אָכַל	comer	lexicon	ubs-dict
H0400	אֹכֶל	comida	lexicon	ubs-dict
H0401	אֻכָל	Ucal	lexicon	ubs-dict
H0402	אׇכְלָה	comida	lexicon	ubs-dict
H0403	אָכֵן	de fato	lexicon	ubs-dict
H0404	אָכַף	impelir	lexicon	ubs-dict
H0405	אֶכֶף	pressão (psicológica)	lexicon	ubs-dict
H0406	אִכָּר	agricultor	lexicon	ubs-dict
H0407	אַכְשָׁף	Acsafe	lexicon	ubs-dict
H0410	אֵל	El Berite	lexicon	ubs-dict
H0414	אֵלָא	Elá	lexicon	ubs-dict
H0417	אֶלְגָּבִישׁ	granizo	lexicon	ubs-dict
H0418	אַלְגּוּמִּים	sândalo	lexicon	ubs-dict
H0419	אֶלְדָּד	Eldade	lexicon	ubs-dict
H0420	אֶלְדָּעָה	Elda	lexicon	ubs-dict
H0421	אָלָה	amaldiçoar	lexicon	ubs-dict
H0423	אָלָה	maldição	lexicon	ubs-dict
H0424	אֵלָה	carvalho	lexicon	ubs-dict
H0427	אַלָּה	terebinto	lexicon	ubs-dict
H0428	אֵלֶּה	esses	lexicon	ubs-dict
H0430	אֱלֹהִים	deus(es)	lexicon	ubs-dict
H0432	אִלּוּ	se somente	lexicon	ubs-dict
H0433	אֱלוֹהַּ	deus	lexicon	ubs-dict
H0435	אֱלוּל	elul	lexicon	ubs-dict
H0436	אֵלוֹן	carvalho	lexicon	ubs-dict
H0437	אַלּוֹן	carvalho	lexicon	ubs-dict
H0439	אַלּוֹן בָּכוּת	chorar	lexicon	ubs-dict
H0440	אֵלוֹנִי	elonita	lexicon	ubs-dict
H0441	אַלּוּף	chefe	lexicon	ubs-dict
H0442	אָלוּשׁ	Alus	lexicon	ubs-dict
H0443	אֶלְזָבָד	Elzabade	lexicon	ubs-dict
H0444	אָלַח	estar corrompido	lexicon	ubs-dict
H0445	אֶלְחָנָן	Elanã	lexicon	ubs-dict
H0446	אֱלִיאָב	Eliabe	lexicon	ubs-dict
H0447	אֱלִיאֵל	Eliel	lexicon	ubs-dict
H0448	אֱלִיאָתָה	Eliata	lexicon	ubs-dict
H0449	אֱלִידָד	Elidade	lexicon	ubs-dict
H0450	אֶלְיָדָע	Eliada	lexicon	ubs-dict
H0451	אַלְיָה	cauda	lexicon	ubs-dict
H0452	אֵלִיָּה	Elias	lexicon	ubs-dict
H0453	אֱלִיהוּ	Eliú	lexicon	ubs-dict
H0454	אֶלְיְהוֹעֵינַי	Elioenai	lexicon	ubs-dict
H0455	אֶלְיַחְבָּא	Eliaba	lexicon	ubs-dict
H0456	אֱלִיחֹרֶף	Eliorefe	lexicon	ubs-dict
H0457	אֱלִיל	ídolo	lexicon	ubs-dict
H0458	אֱלִימֶלֶךְ	Elimeleque	lexicon	ubs-dict
H0460	אֶלְיָסָף	Eliasafe	lexicon	ubs-dict
H0461	אֱלִיעֶזֶר	Eliézer	lexicon	ubs-dict
H0462	אֱלִיעֵינַי	Elienai	lexicon	ubs-dict
H0463	אֱלִיעָם	Eliã	lexicon	ubs-dict
H0464	אֱלִיפַז	Elifaz	lexicon	ubs-dict
H0465	אֱלִיפָל	Elifal	lexicon	ubs-dict
H0466	אֱלִיפְלֵהוּ	Elifeleu	lexicon	ubs-dict
H0467	אֱלִיפֶלֶט	Elifelete	lexicon	ubs-dict
H0467	אֱלִיפֶלֶט	Elpelete	lexicon	ubs-dict
H0468	אֱלִיצוּר	Elizur	lexicon	ubs-dict
H0469	אֱלִיצָפָן	Elisafã	lexicon	ubs-dict
H0469	אֱלִיצָפָן	Elsafã	lexicon	ubs-dict
H0470	אֱלִיקָא	Elica	lexicon	ubs-dict
H0471	אֶלְיָקִים	Eliaquim	lexicon	ubs-dict
H0472	אֱלִישֶׁבַע	Eliseba	lexicon	ubs-dict
H0473	אֱלִישָׁה	Elisá	lexicon	ubs-dict
H0474	אֱלִישׁוּעַ	Elisua	lexicon	ubs-dict
H0475	אֶלְיָשִׁיב	Eliasibe	lexicon	ubs-dict
H0476	אֱלִישָׁמָע	Elisama	lexicon	ubs-dict
H0477	אֱלִישָׁע	Eliseu	lexicon	ubs-dict
H0478	אֱלִישָׁפָט	Elisafate	lexicon	ubs-dict
H0480	אַלְלַי	ai!	lexicon	ubs-dict
H0481	אָלַם	ficar mudo	lexicon	ubs-dict
H0482	אֵלֶם	silêncio	lexicon	ubs-dict
H0483	אִלֵּם	mudo	lexicon	ubs-dict
H0484	אַלְמֻגִּים	sândalo	lexicon	ubs-dict
H0485	אֲלֻמָּה	feixe	lexicon	ubs-dict
H0486	אַלְמוֹדָד	Almodade	lexicon	ubs-dict
H0487	אַלַּמֶּלֶךְ	Alameleque	lexicon	ubs-dict
H0488	אַלְמָן	viúvo/a	lexicon	ubs-dict
H0489	אַלְמֹן	viuvez	lexicon	ubs-dict
H0490	אַלְמָנָה	viúva	lexicon	ubs-dict
H0491	אַלְמָנוּת	viuvez	lexicon	ubs-dict
H0492	אַלְמֹנִי	fulano	lexicon	ubs-dict
H0493	אֶלְנַעַם	Elnaão	lexicon	ubs-dict
H0494	אֶלְנָתָן	Elnatã	lexicon	ubs-dict
H0495	אֶלָּסָר	Elasar	lexicon	ubs-dict
H0496	אֶלְעָד	Eleade	lexicon	ubs-dict
H0497	אֶלְעָדָה	Eleada	lexicon	ubs-dict
H0498	אֶלְעוּזַי	Eluzai	lexicon	ubs-dict
H0499	אֶלְעָזָר	Eleazar	lexicon	ubs-dict
H0500	אֶלְעָלֵא	Eleale	lexicon	ubs-dict
H0501	אֶלְעָשָׂה	Eleasa	lexicon	ubs-dict
H0502	אָלַף	aprender	lexicon	ubs-dict
H0504	אֶלֶף	gado	lexicon	ubs-dict
H0508	אֶלְפַּעַל	Elpaal	lexicon	ubs-dict
H0509	אָלַץ	irritar	lexicon	ubs-dict
H0510	אַלְקוּם	ninguém ousa resistir	lexicon	ubs-dict
H0511	אֶלְקָנָה	Elcana	lexicon	ubs-dict
H0512	אֶלְקֹשִׁי	elcosita	lexicon	ubs-dict
H0513	אֶלְתּוֹלַד	Eltolade	lexicon	ubs-dict
H0514	אֶלְתְּקֵא	Elteque	lexicon	ubs-dict
H0515	אֶלְתְּקֹן	Eltecom	lexicon	ubs-dict
H0517	אֵם	mãe	lexicon	ubs-dict
H0519	אָמָה	escrava	lexicon	ubs-dict
H0520	אַמָּה	cúbito	lexicon	ubs-dict
H0523	אֻמַּה	tribo	lexicon	ubs-dict
H0525	אָמוֹן	artesão	lexicon	ubs-dict
H0529	אֵמוּן	fidelidade	lexicon	ubs-dict
H0530	אֱמוּנָה	firmeza	lexicon	ubs-dict
H0531	אָמוֹץ	Amoz	lexicon	ubs-dict
H0532	אָמִי	Ami	lexicon	ubs-dict
H0533	אַמִּיץ	forte	lexicon	ubs-dict
H0534	אָמִיר	ramo	lexicon	ubs-dict
H0535	אָמַל	enfraquecer	lexicon	ubs-dict
